ID;Adidas;A_FSS2S_MeanScore;A_UEQ_Factor1_Attractiveness_MeanScore;A_UEQ_Factor2_Perspicuity_MeanScore;A_UEQ_Factor3_Efficiency_MeanScore;A_UEQ_Factor4_Dependability_MeanScore;A_UEQ_Factor5_Stimulation_MeanScore;A_UEQ_Factor6_Novelty_MeanScore;Komoot;K_FSS2S_MeanScore;K_UEQ_Factor1_Attractiveness_MeanScore;K_UEQ_Factor2_Perspicuity_MeanScore;K_UEQ_Factor3_Efficiency_MeanScore;K_UEQ_Factor4_Dependability_MeanScore;K_UEQ_Factor5_Stimulation_MeanScore;K_UEQ_Factor6_Novelty_MeanScore;Strava;S_FSS2S_MeanScore;S_UEQ_Factor1_Attractiveness_MeanScore;S_UEQ_Factor2_Perspicuity_MeanScore;S_UEQ_Factor3_Efficiency_MeanScore;S_UEQ_Factor4_Dependability_MeanScore;S_UEQ_Factor5_Stimulation_MeanScore;S_UEQ_Factor6_Novelty_MeanScore;Geschlecht;Alter;Staatsangehörigkeit_Deutsch;Familienstand;Ausbildungsabschluss;Wohnort;Führerschein_Besitz;Führerschein_Besitz_Jahre;Pendeln_ÖPNV;Fahrrad_Verkehrsmittel_Freizeit;ÖPNV_Verkehrsmittel_Freizeit;Regelmäßig_Laufen;Regelmäßig_Walken;Teilnahme_Wettkämpfen;Fahrradfahren_proWoche;Fahrradfahren_Hobbysport_1Jahr;AppRanking_Rank1;AppRanking_Rank2;AppRanking_Rank3;Bekannte_Apps_Spezifikation
1; ;4,55555555555556;3;3;2,25;2;3;3; ;4,11111111111111;3;3;2,25;3;3;2,25; ;4,22222222222222;3;3;3;1,25;1;2,5;1;39;1;3;8;1;1;21;2;1;2;0;0;0;7;2;1;2;3;STrava und Komoot
2; ;3,66666666666667;1;1,25;1,5;1;1;,25; ;3,88888888888889;2,33333333333333;2,5;2,25;2,25;2;1,5; ;4;2,16666666666667;2,5;2,5;2,5;2;,75;2;53;1;3;5;1;1;35;2;1;2;3;0;0;5;2;1;2;3;alle drei
3; ;3,88888888888889;1,5;2,25;2,25;1,5;1,5;1,25; ;3,66666666666667;1,66666666666667;1,5;1,5;1,5;2,25;2; ;3,55555555555556;1,5;1,5;1,5;,75;1,25;1;1;24;1;2;8;2;1;7;1;1;2;0;2;0;3;1;2;3;1; 
4; ;3,88888888888889;3;3;3;3;2,5;,75; ;4,11111111111111;2,33333333333333;1,5;1,75;1;2,25;,75; ;4,55555555555556;-,833333333333333;3;1,25;2;-,5;-2,5;1;22;1;1;3;3;1;4;1;1;1;0;0;0;4;2;3;2;1; 
5; ;3,66666666666667;1,83333333333333;1,75;1,75;1,75;2;1,25; ;4;1,66666666666667;2,5;1;1;,25;2; ;4,44444444444444;,5;1,25;,75;,75;-,5;-,75;1;57;1;3;9;4;1;40;2;1;2;0;2;0;2;2;2;3;1; 
6; ;3,44444444444444;1;2,25;0;1,25;-,5;,25; ;3,66666666666667;1,5;1;1,25;2;0;-,5; ;3,66666666666667;2,33333333333333;-1,25;,25;1,25;2;1,75;2;19;1;1;3;3;1;1;2;1;2;3;0;0;4;2;1;2;3;Komoot,Strava
7; ;4,66666666666667;1,16666666666667;2,25;,75;1,25;1;,25; ;4,44444444444444;1,66666666666667;2,5;1,25;1,75;1,75;,5; ;4,66666666666667;1;2,25;1;1,25;1,5;,5;1;48;1;3;4;1;1;26;2;1;2;5;0;0;6;2;2;1;3;Komoot
8; ;3,88888888888889;1,16666666666667;1,5;1;1;1;,25; ;4,33333333333333;1,5;2,75;1,75;2;2;1; ;3,66666666666667;,833333333333333;1,25;,5;,75;,5;0;2;55;1;3;4;1;1;32;2;1;2;5;0;0;5;2;2;1;3;Komoot
9; ;3,88888888888889;1,5;2,5;1,5;1,75;1,25;0; ;4;1,83333333333333;,5;1,5;1,25;2,5;2,5; ;4;1,16666666666667;2,25;1,75;1,25;1,75;1,75;1;25;1;3;8;3;1;8;2;1;2;1;0;0;1;1;1;3;2;Adidas
10; ;4,66666666666667;,833333333333333;,75;0;1,25;1,75;1; ;4,44444444444444;1,33333333333333;1,75;1,25;1,25;1,25;,75; ;4,11111111111111;1,5;,5;1,75;1,25;1;1,25;2;54;1;3;4;2;1;31;2;1;2;0;0;0;5;2;3;1;2; 
